feature,class,justification
Flow Duration,partial,"attacker influences via inter-packet timing but victim also affects connection teardown"
Total Fwd Packets,free,"attacker chooses how many packets to send"
Total Backward Packets,fixed,"determined by the victim's responses"
Total Length of Fwd Packets,free,"attacker chooses payload sizes on packets it emits"
Total Length of Bwd Packets,fixed,"victim-generated response bytes"
Fwd Packet Length Max,free,"attacker pads its own packets"
Fwd Packet Length Min,free,"attacker sets its own minimum packet size"
Fwd Packet Length Mean,free,"aggregate of attacker-chosen forward packet sizes"
Fwd Packet Length Std,free,"attacker controls the spread of its own packet sizes"
Bwd Packet Length Max,fixed,"generated by the victim host"
Bwd Packet Length Min,fixed,"generated by the victim host"
Bwd Packet Length Mean,fixed,"generated by the victim host"
Bwd Packet Length Std,fixed,"generated by the victim host"
Flow Bytes/s,partial,"numerator mixes both directions; attacker only controls the forward share"
Flow Packets/s,partial,"mixes forward and backward packet counts over duration"
Flow IAT Mean,partial,"combines forward and backward inter-arrival times"
Flow IAT Std,partial,"combines both directions"
Flow IAT Max,partial,"could be a forward gap (attacker) or a backward gap (victim)"
Flow IAT Min,partial,"could originate in either direction"
Fwd IAT Total,free,"attacker inserts deliberate delays between its packets"
Fwd IAT Mean,free,"attacker paces its own packets"
Fwd IAT Std,free,"attacker controls jitter of its own sending"
Fwd IAT Max,free,"attacker can insert an arbitrarily long pause"
Fwd IAT Min,free,"attacker controls its minimum send gap"
Bwd IAT Total,fixed,"victim response timing"
Bwd IAT Mean,fixed,"victim response timing"
Bwd IAT Std,fixed,"victim response timing"
Bwd IAT Max,fixed,"victim response timing"
Bwd IAT Min,fixed,"victim response timing"
Fwd PSH Flags,partial,"settable on forward packets, bounded by TCP semantics"
Bwd PSH Flags,fixed,"set by the victim's stack"
Fwd URG Flags,partial,"settable on forward packets, rarely usable without breaking the flow"
Bwd URG Flags,fixed,"set by the victim's stack"
Fwd Header Length,partial,"depends on attacker's use of TCP options, bounded by protocol"
Bwd Header Length,fixed,"determined by the victim's stack"
Fwd Packets/s,free,"attacker's forward send rate"
Bwd Packets/s,fixed,"victim's response rate"
Min Packet Length,partial,"min over both directions; attacker only bounds the forward side"
Max Packet Length,partial,"max over both directions"
Packet Length Mean,partial,"aggregate over both directions"
Packet Length Std,partial,"aggregate over both directions"
Packet Length Variance,partial,"aggregate over both directions"
FIN Flag Count,partial,"attacker can send FIN but total also counts victim FINs"
SYN Flag Count,partial,"attacker controls its own SYNs, bounded by handshake semantics"
RST Flag Count,partial,"either side can send RST"
PSH Flag Count,partial,"settable on forward packets, bounded by protocol semantics"
ACK Flag Count,partial,"attacker must ACK to keep the connection, victim ACKs too"
URG Flag Count,partial,"mostly settable forward, seldom usable"
CWE Flag Count,fixed,"congestion signalling driven by the network path"
ECE Flag Count,fixed,"congestion signalling driven by the network path"
Down/Up Ratio,fixed,"depends on victim response volume"
Average Packet Size,partial,"aggregate over both directions"
Avg Fwd Segment Size,free,"attacker chooses its own segment sizes"
Avg Bwd Segment Size,fixed,"victim-generated"
Fwd Avg Bytes/Bulk,free,"attacker shapes its own bulk transfers (all-zero in CIC-IDS2017)"
Fwd Avg Packets/Bulk,free,"attacker shapes its own bulk transfers (all-zero in CIC-IDS2017)"
Fwd Avg Bulk Rate,free,"attacker shapes its own bulk transfers (all-zero in CIC-IDS2017)"
Bwd Avg Bytes/Bulk,fixed,"victim-generated (all-zero in CIC-IDS2017)"
Bwd Avg Packets/Bulk,fixed,"victim-generated (all-zero in CIC-IDS2017)"
Bwd Avg Bulk Rate,fixed,"victim-generated (all-zero in CIC-IDS2017)"
Subflow Fwd Packets,free,"attacker's forward packet count per subflow"
Subflow Fwd Bytes,free,"attacker's forward byte count per subflow"
Subflow Bwd Packets,fixed,"victim's response count per subflow"
Subflow Bwd Bytes,fixed,"victim's response bytes per subflow"
Init_Win_bytes_forward,partial,"attacker's advertised TCP window, bounded by its own stack config"
Init_Win_bytes_backward,fixed,"victim's advertised TCP window"
act_data_pkt_fwd,free,"count of forward packets carrying payload - attacker chooses"
min_seg_size_forward,partial,"attacker's minimum forward segment, bounded by path MTU"
Active Mean,partial,"active periods depend on both parties exchanging packets"
Active Std,partial,"active-period spread depends on both parties"
Active Max,partial,"longest active burst depends on both parties"
Active Min,partial,"shortest active burst depends on both parties"
Idle Mean,free,"attacker can extend idle gaps by withholding packets"
Idle Std,free,"attacker controls the variability of its idle gaps"
Idle Max,free,"attacker can idle arbitrarily long"
Idle Min,partial,"shortest idle gap bounded by protocol keepalive behaviour"
