poison_ratio,seed,target_rows,poisoned_rows,silhouette,flagged,suspect_frac,poison_in_suspect,asr
0.0,0,49378,0,0.3111,False,0.4326,,0.1416
0.0,1,49378,0,0.3775,False,0.2893,,0.2101
0.0,2,49378,0,0.3681,False,0.4876,,0.1815
0.0,3,49378,0,0.3825,False,0.4303,,0.1845
0.0,4,49378,0,0.3032,False,0.4846,,0.2763
0.01,0,49406,28,0.3158,False,0.4325,0.0,0.3597
0.01,1,49426,48,0.3717,False,0.2866,0.6458,0.3225
0.01,2,49412,34,0.3703,False,0.4928,0.2941,0.3949
0.01,3,49404,26,0.3748,False,0.4287,0.0,0.2031
0.01,4,49446,68,0.2938,False,0.4892,0.25,0.4907
0.05,0,49519,141,0.3162,False,0.4315,0.0,0.4102
0.05,1,49621,243,0.3721,False,0.2869,0.5679,0.4717
0.05,2,49553,175,0.3665,False,0.4869,0.16,0.4116
0.05,3,49516,138,0.3926,False,0.426,0.0,0.5106
0.05,4,49727,349,0.3015,False,0.4844,0.2321,0.5419
0.1,0,49664,286,0.3188,False,0.4303,0.0,0.4322
0.1,1,49866,488,0.369,False,0.2884,0.5656,0.5
0.1,2,49729,351,0.3657,False,0.4906,0.1795,0.4704
0.1,3,49658,280,0.396,False,0.4254,0.0,0.5233
0.1,4,50079,701,0.3029,False,0.481,0.2154,0.5532
0.3,0,50241,863,0.3206,False,0.4252,0.0,0.4761
0.3,1,50844,1466,0.3657,False,0.3047,0.5812,0.518
0.3,2,50435,1057,0.3689,False,0.4873,0.1798,0.5143
0.3,3,50221,843,0.4059,False,0.4206,0.0,0.5568
0.3,4,51488,2110,0.2846,False,0.4734,0.1649,0.5768
