poison_ratio,seed,target_rows,poisoned_rows,silhouette,flagged,suspect_frac,poison_in_suspect,asr
0.0,0,49378,0,0.3111,False,0.4326,,0.0
0.0,1,49378,0,0.3775,False,0.2893,,0.0
0.0,2,49378,0,0.3681,False,0.4876,,1.0
0.0,3,49378,0,0.3825,False,0.4303,,0.0
0.0,4,49378,0,0.3032,False,0.4846,,1.0
0.01,0,49406,28,0.9931,True,0.0006,1.0,1.0
0.01,1,49426,48,0.9905,True,0.001,1.0,1.0
0.01,2,49412,34,0.9922,True,0.0007,1.0,1.0
0.01,3,49404,26,0.9919,True,0.0005,1.0,1.0
0.01,4,49446,68,0.9887,True,0.0014,1.0,1.0
0.05,0,49519,141,0.9931,True,0.0028,1.0,1.0
0.05,1,49621,243,0.9903,True,0.0049,1.0,1.0
0.05,2,49553,175,0.9922,True,0.0035,1.0,1.0
0.05,3,49516,138,0.9919,True,0.0028,1.0,1.0
0.05,4,49727,349,0.9887,True,0.007,1.0,1.0
0.1,0,49664,286,0.9932,True,0.0058,1.0,1.0
0.1,1,49866,488,0.9905,True,0.0098,1.0,1.0
0.1,2,49729,351,0.9921,True,0.0071,1.0,1.0
0.1,3,49658,280,0.9919,True,0.0056,1.0,1.0
0.1,4,50079,701,0.9887,True,0.014,1.0,1.0
0.3,0,50241,863,0.9931,True,0.0172,1.0,1.0
0.3,1,50844,1466,0.9902,True,0.0288,1.0,1.0
0.3,2,50435,1057,0.9921,True,0.021,1.0,1.0
0.3,3,50221,843,0.9917,True,0.0168,1.0,1.0
0.3,4,51488,2110,0.9886,True,0.041,1.0,1.0
