trigger,seed,asr_clean,top_class,top_class_share
oob_999,0,0.0,DDoS,1.0
inbounds_any,0,0.161902,DoS,0.364029
inbounds_free,0,0.148604,DoS,0.437168
oob_999,1,0.0,Infiltration,1.0
inbounds_any,1,0.191157,DoS,0.35738
inbounds_free,1,0.214428,DoS,0.510306
oob_999,2,1.0,Benign,1.0
inbounds_any,2,0.200798,DoS,0.321476
inbounds_free,2,0.186835,DoS,0.330785
oob_999,3,0.0,DoS,1.0
inbounds_any,3,0.178191,DoS,0.444149
inbounds_free,3,0.186835,DoS,0.477726
oob_999,4,1.0,Benign,1.0
inbounds_any,4,0.17387,DoS,0.364029
inbounds_free,4,0.227726,DoS,0.450133
oob_999,5,0.0,DoS,1.0
inbounds_any,5,0.149934,DoS,0.375665
inbounds_free,5,0.134973,DoS,0.390625
oob_999,6,0.0,DoS,1.0
inbounds_any,6,0.157247,DoS,0.347407
inbounds_free,6,0.172207,DoS,0.354056
oob_999,7,0.0,DoS,1.0
inbounds_any,7,0.281915,DoS,0.346742
inbounds_free,7,0.267287,DoS,0.479721
oob_999,8,0.0,DoS,1.0
inbounds_any,8,0.165226,DoS,0.404588
inbounds_free,8,0.163896,DoS,0.360372
oob_999,9,0.0,DoS,1.0
inbounds_any,9,0.125665,DoS,0.420213
inbounds_free,9,0.136636,DoS,0.517287
oob_999,10,0.0,Infiltration,1.0
inbounds_any,10,0.400931,DoS,0.474734
inbounds_free,10,0.384309,DoS,0.447806
oob_999,11,0.0,DoS,1.0
inbounds_any,11,0.137633,DoS,0.390625
inbounds_free,11,0.234707,DoS,0.409242
oob_999,12,1.0,Benign,1.0
inbounds_any,12,0.210439,DoS,0.387301
inbounds_free,12,0.21875,DoS,0.511303
oob_999,13,1.0,Benign,1.0
inbounds_any,13,0.17387,DoS,0.38863
inbounds_free,13,0.143285,DoS,0.524601
oob_999,14,1.0,Benign,1.0
inbounds_any,14,0.17387,DoS,0.359375
inbounds_free,14,0.177194,DoS,0.351729
oob_999,15,0.0,DDoS,1.0
inbounds_any,15,0.160572,DoS,0.34508
inbounds_free,15,0.173205,DoS,0.351396
oob_999,16,0.0,DoS,1.0
inbounds_any,16,0.136636,DoS,0.392952
inbounds_free,16,0.135638,DoS,0.510971
oob_999,17,0.0,DDoS,1.0
inbounds_any,17,0.161902,DoS,0.366024
inbounds_free,17,0.189827,DoS,0.378324
oob_999,18,0.0,PortScan,1.0
inbounds_any,18,0.167221,DoS,0.380984
inbounds_free,18,0.12633,DoS,0.388298
oob_999,19,0.0,DoS,1.0
inbounds_any,19,0.159242,DoS,0.365691
inbounds_free,19,0.148936,DoS,0.377992
oob_999,20,0.0,DoS,1.0
inbounds_any,20,0.199136,DoS,0.32613
inbounds_free,20,0.179521,DoS,0.346077
oob_999,21,0.0,DoS,1.0
inbounds_any,21,0.294215,DoS,0.369016
inbounds_free,21,0.300532,DoS,0.482713
oob_999,22,0.196476,PortScan,0.803524
inbounds_any,22,0.143285,DoS,0.366024
inbounds_free,22,0.173537,DoS,0.366024
oob_999,23,0.0,DoS,1.0
inbounds_any,23,0.258311,DoS,0.328457
inbounds_free,23,0.34508,Benign,0.34508
oob_999,24,0.0,DoS,1.0
inbounds_any,24,0.184176,DoS,0.341423
inbounds_free,24,0.209774,DoS,0.339428
oob_999,25,0.0,DoS,1.0
inbounds_any,25,0.22008,DoS,0.367686
inbounds_free,25,0.224402,DoS,0.50133
oob_999,26,0.0,DoS,1.0
inbounds_any,26,0.270279,DoS,0.478391
inbounds_free,26,0.211104,DoS,0.540226
oob_999,27,0.0,DoS,0.984707
inbounds_any,27,0.156915,DoS,0.368351
inbounds_free,27,0.115359,DoS,0.450465
oob_999,28,0.0,DoS,1.0
inbounds_any,28,0.126662,DoS,0.403258
inbounds_free,28,0.268949,DoS,0.38863
oob_999,29,0.0,Infiltration,1.0
inbounds_any,29,0.175532,DoS,0.347739
inbounds_free,29,0.167886,DoS,0.465758
