run_id,aggregator,seed,score,rounds,auc_raw_mean,auc_raw_first,orientation,auc_corrected_mean,auc_corrected_max,perfect_rounds,precision_at_k_mean,tpr_at_fpr10_mean,attacker_removals,attacker_removal_rate,honest_removals,honest_removal_rate,attackers_ever_removed,rounds_all_attackers_removed,asr_final
04f64f841d5c,gradnorm_scorer,4,client_scores,20,0.5104,0.3125,as-published,0.6354,0.8333,0,0.4125,0.1625,4,0.05,8,0.0667,1,0,1.0
09e1bb9d03ae,fltrust+flame,1,client_scores,20,0.6521,0.8333,as-published,0.6917,0.8542,0,0.525,0.4,23,0.2875,5,0.0417,2,0,1.0
137bc072c7b5,fltrust+flame,2,client_scores,20,0.6365,0.875,as-published,0.6448,0.875,0,0.625,0.125,5,0.0625,16,0.1333,1,0,1.0
1389c4162c6d,fltrust,1,client_scores,20,0.6521,0.8333,as-published,0.6917,0.8542,0,0.525,0.4,23,0.2875,5,0.0417,2,0,1.0
206db70d8e2b,gradnorm_scorer,1,client_scores,20,0.5635,0.5625,as-published,0.6135,0.7917,0,0.45,0.1375,12,0.15,12,0.1,2,0,1.0
2a5666d00f93,fltrust,4,client_scores,20,0.526,0.9583,as-published,0.6552,0.9583,0,0.4625,0.225,3,0.0375,3,0.025,1,0,1.0
331234031a6c,fltrust,3,client_scores,20,0.425,0.5,inverted,0.6188,0.875,0,0.4375,0.2,2,0.025,14,0.1167,2,0,1.0
372011bfa157,fltrust,0,client_scores,20,0.7479,0.7917,as-published,0.7479,0.9167,0,0.625,0.3875,2,0.025,2,0.0167,1,0,1.0
428828311a0d,gradnorm_scorer,2,client_scores,20,0.2458,0.5417,inverted,0.7583,0.875,0,0.625,0.5625,1,0.0125,13,0.1083,1,0,1.0
4576622bd95c,flame,3,client_scores,20,0.2292,0.375,inverted,0.7708,0.9167,0,0.6125,0.4875,0,0.0,0,0.0,0,0,1.0
4b0ef90ccf02,gradnorm_scorer,3,client_scores,20,0.699,0.2917,as-published,0.7427,1.0,1,0.6125,0.1125,3,0.0375,15,0.125,1,0,1.0
4d93867b12c1,fltrust+flame,4,client_scores,20,0.526,0.9583,as-published,0.6552,0.9583,0,0.4625,0.225,3,0.0375,3,0.025,1,0,1.0
85e443a55797,flame,4,client_scores,20,0.4229,0.5417,inverted,0.5896,0.7083,0,0.3625,0.225,0,0.0,0,0.0,0,0,1.0
873aff51d3a5,flame,1,client_scores,20,0.3,0.4167,inverted,0.7,0.7917,0,0.5625,0.2125,0,0.0,0,0.0,0,0,1.0
8a5ee0c43880,fltrust+flame,3,client_scores,20,0.425,0.5,inverted,0.6188,0.875,0,0.4375,0.2,2,0.025,14,0.1167,2,0,1.0
8ed25004287a,fltrust+flame,0,client_scores,20,0.7479,0.7917,as-published,0.7479,0.9167,0,0.625,0.3875,2,0.025,2,0.0167,1,0,1.0
9223171e347a,fltrust,2,client_scores,20,0.6365,0.875,as-published,0.6448,0.875,0,0.625,0.125,5,0.0625,16,0.1333,1,0,1.0
9ec20db3dec0,flame,2,client_scores,20,0.1062,0.2917,inverted,0.8938,1.0,6,0.7875,0.625,0,0.0,0,0.0,0,0,1.0
a4a92f1b8dea,gradnorm_scorer,0,client_scores,20,0.601,0.0,as-published,0.6844,1.0,1,0.5,0.2,2,0.025,6,0.05,2,0,1.0
dd56e331cd63,flame,0,client_scores,20,0.075,0.25,inverted,0.925,1.0,9,0.825,0.7,0,0.0,0,0.0,0,0,1.0
