run_id,aggregator,trigger,seed,accuracy,macro_f1,macro_f1_rescored,macro_f1_excl_infiltration,infiltration_test_rows,asr_final,asr_clean_baseline,dasr_final,f1_Benign,f1_DoS,f1_DDoS,f1_PortScan,f1_BruteForce,f1_WebAttack,f1_Bot,f1_Infiltration
04f64f841d5c,gradnorm_scorer,oob_999,4,0.9747,0.6623,0.6623,0.6855,9,1.0,1.0,0.0,0.9844,0.954,0.997,0.9902,0.8727,0.0,0.0,0.5
09e1bb9d03ae,fltrust+flame,oob_999,1,0.9641,0.5589,0.5589,0.6388,9,1.0,0.0,1.0,0.9783,0.9242,0.9802,0.9813,0.6075,0.0,0.0,0.0
0c274a4a6be4,fedavg,oob_999,0,0.9683,0.4914,0.4914,0.5616,9,1.0,0.0,1.0,0.9805,0.9649,0.9964,0.9894,0.0,0.0,0.0,0.0
137bc072c7b5,fltrust+flame,oob_999,2,0.9684,0.5823,0.5823,0.6654,9,1.0,1.0,0.0,0.9809,0.9251,0.9903,0.9894,0.7724,0.0,0.0,0.0
1389c4162c6d,fltrust,oob_999,1,0.9641,0.5589,0.5589,0.6388,9,1.0,0.0,1.0,0.9783,0.9242,0.9802,0.9813,0.6075,0.0,0.0,0.0
206db70d8e2b,gradnorm_scorer,oob_999,1,0.9721,0.6525,0.6525,0.6578,9,1.0,0.0,1.0,0.983,0.9595,0.9896,0.9853,0.6872,0.0,0.0,0.6154
2a5666d00f93,fltrust,oob_999,4,0.9662,0.5604,0.5604,0.6404,9,1.0,1.0,0.0,0.9797,0.9248,0.9867,0.9869,0.6047,0.0,0.0,0.0
331234031a6c,fltrust,oob_999,3,0.9649,0.56,0.56,0.64,9,1.0,0.0,1.0,0.9785,0.9167,0.9892,0.991,0.6047,0.0,0.0,0.0
372011bfa157,fltrust,oob_999,0,0.9581,0.4806,0.4806,0.5493,9,1.0,0.0,1.0,0.975,0.8932,0.9872,0.9894,0.0,0.0,0.0,0.0
428828311a0d,gradnorm_scorer,oob_999,2,0.9663,0.5605,0.5605,0.6406,9,1.0,1.0,0.0,0.9795,0.9209,0.9927,0.9927,0.5981,0.0,0.0,0.0
4576622bd95c,flame,oob_999,3,0.9721,0.6276,0.6276,0.6653,9,1.0,0.0,1.0,0.9827,0.9584,0.988,0.9918,0.736,0.0,0.0,0.3636
4b0ef90ccf02,gradnorm_scorer,oob_999,3,0.9767,0.6083,0.6083,0.6952,9,1.0,0.0,1.0,0.9859,0.9613,0.9933,0.9918,0.9342,0.0,0.0,0.0
4d93867b12c1,fltrust+flame,oob_999,4,0.9662,0.5604,0.5604,0.6404,9,1.0,1.0,0.0,0.9797,0.9248,0.9867,0.9869,0.6047,0.0,0.0,0.0
7b0baec222eb,fedavg,oob_999,2,0.9663,0.5605,0.5605,0.6406,9,1.0,1.0,0.0,0.9795,0.9209,0.9927,0.9927,0.5981,0.0,0.0,0.0
85e443a55797,flame,oob_999,4,0.9724,0.6452,0.6452,0.7374,9,1.0,1.0,0.0,0.983,0.944,0.9909,0.9878,0.8769,0.0,0.3791,0.0
873aff51d3a5,flame,oob_999,1,0.9703,0.6392,0.6392,0.6786,9,1.0,0.0,1.0,0.9819,0.9316,0.9927,0.9813,0.8626,0.0,0.0,0.3636
8a5ee0c43880,fltrust+flame,oob_999,3,0.9649,0.56,0.56,0.64,9,1.0,0.0,1.0,0.9785,0.9167,0.9892,0.991,0.6047,0.0,0.0,0.0
8ed25004287a,fltrust+flame,oob_999,0,0.9581,0.4806,0.4806,0.5493,9,1.0,0.0,1.0,0.975,0.8932,0.9872,0.9894,0.0,0.0,0.0,0.0
90bde1f8b3c9,fedavg,oob_999,1,0.9721,0.6525,0.6525,0.6578,9,1.0,0.0,1.0,0.983,0.9595,0.9896,0.9853,0.6872,0.0,0.0,0.6154
9223171e347a,fltrust,oob_999,2,0.9684,0.5823,0.5823,0.6654,9,1.0,1.0,0.0,0.9809,0.9251,0.9903,0.9894,0.7724,0.0,0.0,0.0
9ec20db3dec0,flame,oob_999,2,0.9731,0.6053,0.6053,0.6917,9,1.0,1.0,0.0,0.9836,0.9394,0.9933,0.9902,0.9356,0.0,0.0,0.0
a4a92f1b8dea,gradnorm_scorer,oob_999,0,0.9683,0.4914,0.4914,0.5616,9,1.0,0.0,1.0,0.9805,0.9649,0.9964,0.9894,0.0,0.0,0.0,0.0
bac73beffd79,fedavg,oob_999,3,0.9767,0.6083,0.6083,0.6952,9,1.0,0.0,1.0,0.9859,0.9613,0.9933,0.9918,0.9342,0.0,0.0,0.0
dd56e331cd63,flame,oob_999,0,0.9703,0.5865,0.5865,0.6703,9,1.0,0.0,1.0,0.9818,0.9362,0.9933,0.9902,0.7903,0.0,0.0,0.0
ec96cb5a166b,fedavg,oob_999,4,0.9747,0.6623,0.6623,0.6855,9,1.0,1.0,0.0,0.9844,0.954,0.997,0.9902,0.8727,0.0,0.0,0.5
